sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
南投,南投縣,41,,良好,0.5,0.24,4.9,11.6,28,11,11.1,12.2,1,0.8,41,"2022/11/30 01:00:00",0.2,12,27,0,120.685306,23.913,36
斗六,雲林縣,84,細懸浮微粒,普通,1.4,0.28,5.5,17.3,42,20,13.2,13.6,0.4,0.9,358,"2022/11/30 01:00:00",0.2,28,54,1,120.544994,23.711853,37
崙背,雲林縣,78,細懸浮微粒,普通,0.8,0.24,7.3,16.9,62,31,10.4,11.2,0.7,1.2,348,"2022/11/30 01:00:00",0.2,26,57,1,120.348742,23.757547,38
新港,嘉義縣,64,細懸浮微粒,普通,2.4,0.25,11.7,32.5,73,29,13.9,15.2,1.2,2.2,9,"2022/11/30 01:00:00",0.1,20,44,1,120.345531,23.554839,39
朴子,嘉義縣,57,細懸浮微粒,普通,0.7,0.18,17.4,33.7,28,18,6.3,6.9,0.6,0.7,355,"2022/11/30 01:00:00",0.1,18,37,1,120.24781111,23.46712222,40
臺西,雲林縣,66,細懸浮微粒,普通,1,0.24,12.1,23.2,55,38,11.5,12.5,0.9,3.2,26,"2022/11/30 01:00:00",0.2,21,45,1,120.19933333,23.702175,41
嘉義,嘉義市,49,,良好,2.2,0.27,15.3,30.8,38,21,12.6,13.4,0.8,1.6,67,"2022/11/30 01:00:00",0.2,15,34,2,120.44125148,23.46477865,42
新營,臺南市,40,,良好,0.5,0.21,12.3,35.9,41,11,17,17.5,0.4,1.4,24,"2022/11/30 01:00:00",0.2,12,38,1,120.31725,23.305633,43
善化,臺南市,51,細懸浮微粒,普通,0.4,0.23,17.4,29.2,29,20,9.9,11.5,1.5,1.1,5,"2022/11/30 01:00:00",0.2,15,29,1,120.29740529,23.11337642,44
安南,臺南市,65,細懸浮微粒,普通,1.1,0.28,22.1,30.2,41,23,12.5,13.3,0.8,1.1,0,"2022/11/30 01:00:00",0.3,21,40,1,120.2175,23.048197,45
臺南,臺南市,58,細懸浮微粒,普通,1.3,0.51,19.6,25.2,40,23,23.7,26.3,2.6,0.9,93,"2022/11/30 01:00:00",0.5,18,33,1,120.22238056,22.98525833,46
美濃,高雄市,26,,良好,0.5,0.16,8.8,14.5,11,5,5.1,5.6,0.5,0.3,70,"2022/11/30 01:00:00",0.1,8,20,0,120.530542,22.883583,47
橋頭,高雄市,46,,良好,1.2,0.21,18.3,10.1,35,19,10.9,11.4,0.5,1.2,27,"2022/11/30 01:00:00",0.2,14,33,1,120.305689,22.757506,48
仁武,高雄市,44,,良好,2.6,0.28,24.5,9.8,32,17,16.8,17.8,0.9,2.8,352,"2022/11/30 01:00:00",0.3,13,25,2,120.332631,22.689056,49
鳳山,高雄市,50,,良好,2.1,0.33,29.8,12.1,36,19,9.5,10.4,0.9,0.7,279,"2022/11/30 01:00:00",0.5,15,29,2,120.357422,22.628126,50
大寮,高雄市,35,,良好,2.3,0.33,9.5,9.4,28,14,15.9,16.5,0.5,1.2,17,"2022/11/30 01:00:00",0.2,10,24,1,120.425311,22.56413611,51
林園,高雄市,27,,良好,1.5,0.33,4.3,13.6,33,8,16,17,0.9,1.7,32,"2022/11/30 01:00:00",0.1,4,26,0,120.41175,22.4795,52
楠梓,高雄市,30,,良好,2.1,0.25,26.2,12.4,31,14,12.2,13.3,1,1.4,18,"2022/11/30 01:00:00",0.3,7,30,2,120.328289,22.733667,53
左營,高雄市,33,,良好,2.3,0.28,22.7,11.4,32,16,10,9.9,0,0.5,17,"2022/11/30 01:00:00",0.3,10,25,3,120.292917,22.674861,54
前金,高雄市,38,,良好,0.4,0.27,27.7,10.4,41,20,10.4,11,0.6,2,341,"2022/11/30 01:00:00",0.3,11,28,1,120.28676111,22.63390278,56
前鎮,高雄市,33,,良好,1.5,0.31,24.5,8.5,41,17,12.8,13.9,1,2.2,17,"2022/11/30 01:00:00",0.4,10,31,2,120.30833356,22.6044507,57
小港,高雄市,40,,良好,2.3,0.28,13.1,7,31,13,24,24.8,0.7,0.9,343,"2022/11/30 01:00:00",0.2,9,23,2,120.337736,22.565833,58
屏東,屏東縣,36,,良好,1.3,0.25,19.6,12.2,42,16,10.4,10.8,0.3,1.6,358,"2022/11/30 01:00:00",0.3,11,33,1,120.488033,22.673081,59
潮州,屏東縣,16,,良好,0.8,0.13,6.3,9.8,9,4,5.1,6,0.9,0.7,349,"2022/11/30 01:00:00",0.1,5,15,0,120.561175,22.523108,60
恆春,屏東縣,18,,良好,0.2,0.11,18.6,19.6,3,0,0.5,1,0.5,4.1,41,"2022/11/30 01:00:00",0.1,0,4,0,120.788928,21.958069,61
臺東,臺東縣,11,,良好,0.8,0.11,7.4,12.4,9,1,2,3.2,1.1,0.4,311,"2022/11/30 01:00:00",0.1,0,10,0,121.15045,22.755358,62
花蓮,花蓮縣,19,,良好,0.7,0.19,6,9.4,17,6,6.8,7.6,0.8,0.4,285,"2022/11/30 01:00:00",0.3,6,18,0,121.599769,23.971306,63
陽明,臺北市,31,,良好,0.3,0.28,34.2,34.6,4,1,1.6,2.3,0.7,,,"2022/11/30 01:00:00",0.2,6,11,0,121.529583,25.182722,64
宜蘭,宜蘭縣,31,,良好,1.4,0.28,19,16.3,17,8,5.9,6.5,0.5,1.6,77,"2022/11/30 01:00:00",0.3,9,20,1,121.746394,24.747917,65
冬山,宜蘭縣,23,,良好,0.3,0.27,27.6,17.7,23,6,2.8,4.1,1.3,1.8,37,"2022/11/30 01:00:00",0.2,4,23,0,121.792928,24.632203,66
三重,新北市,40,,良好,0.7,0.56,14.8,10.9,10,2,17.4,35.2,17.8,-,-,"2022/11/30 01:00:00",0.9,12,23,1,121.493806,25.072611,67
中壢,桃園市,40,,良好,1.3,0.4,15.8,7,20,8,12.4,14.4,1.9,0.2,335,"2022/11/30 01:00:00",0.7,12,24,1,121.221667,24.953278,68
竹山,南投縣,59,細懸浮微粒,普通,1.2,0.13,4.2,13.2,23,11,9.6,10.6,1,0.4,283,"2022/11/30 01:00:00",0.2,18,33,,120.677306,23.756389,69
永和,新北市,43,,良好,0.3,0.32,26.6,20,7,6,4.2,5.1,0.9,2,86,"2022/11/30 01:00:00",0.8,13,19,0,121.516306,25.017,70
復興,高雄市,31,,良好,1.2,0.35,23.5,8.1,45,15,11.7,13,1.3,0.6,115,"2022/11/30 01:00:00",0.4,9,24,2,120.312017,22.608711,71
埔里,南投縣,24,,良好,1.1,0.18,13.8,26,20,7,4.1,5,0.8,0.5,0,"2022/11/30 01:00:00",0.1,6,18,1,120.967903,23.968842,72
馬祖,連江縣,39,,良好,0.4,0.27,25.7,24.3,13,7,3.8,4.2,0.3,4.2,324,"2022/11/30 01:00:00",0.3,11,19,1,119.93149378,26.15188416,75
金門,金門縣,39,,良好,1.4,0.2,9.5,20.8,25,17,14.1,14.7,0.5,3.5,88,"2022/11/30 01:00:00",0.1,12,19,2,118.312256,24.432133,77
馬公,澎湖縣,32,,良好,0.5,0.15,34.3,35.7,13,2,4.6,4.9,0.2,1.4,58,"2022/11/30 01:00:00",0.2,5,18,0,119.566158,23.569031,78
